Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,124215843,1591.2234139050747,3533457,45.26410942947741,517342,2734374,35.027737413280484,63045,0.8076158218371984,10530,
United States of America,Americas,29653604,8958.72,392832,118.68,58755,539027,162.85,7172,2.17,775,Community transmission
Brazil,Americas,12130019,5706.65,526484,247.69,82493,298676,140.51,16549,7.79,3251,Community transmission
India,South-East Asia,11787534,854.17,312929,22.68,53476,160692,11.64,1476,0.11,251,Clusters of cases
Russian Federation,Europe,4483471,3072.25,65035,44.56,8861,96219,65.93,2855,1.96,401,Clusters of cases
The United Kingdom,Europe,4307308,6344.91,38483,56.69,5379,126284,186.02,594,0.87,112,Community transmission
France,Europe,4240732,6496.87,202987,310.98,13530,92363,141.5,1706,2.61,269,Community transmission
Italy,Europe,3419616,5655.83,160846,266.03,18739,105879,175.12,2878,4.76,551,Clusters of cases
Spain,Europe,3234319,6917.62,29312,62.69,2941,73744,157.73,337,0.72,6,Community transmission
Turkey,Europe,3061520,3630.01,149878,177.71,26182,30316,35.95,693,0.82,138,Community transmission
Germany,Europe,2690523,3211.26,95759,114.29,15813,75212,89.77,1307,1.56,248,Community transmission
Colombia,Americas,2347224,4612.99,37624,73.94,4946,62274,122.39,906,1.78,126,Community transmission
Argentina,Americas,2261577,5003.96,51456,113.85,9405,54823,121.3,787,1.74,152,Community transmission
Mexico,Americas,2203041,1708.67,34034,26.4,5881,199048,154.38,3929,3.05,809,Community transmission
Poland,Europe,2120671,5603.33,163697,432.53,30802,50340,133.01,2308,6.1,579,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1823317,2170.8,52202,62.15,7605,62045,73.87,553,0.66,94,Community transmission
Ukraine,Europe,1579906,3612.55,90883,207.81,14174,30773,70.36,1787,4.09,342,Community transmission
South Africa,Africa,1538961,2594.83,7995,13.48,510,52251,88.1,691,1.17,55,Community transmission
Czechia,Europe,1486510,13880.97,59519,555.79,10972,25258,235.86,1356,12.66,203,Community transmission
Peru,Americas,1481259,4492.5,53655,162.73,8469,50474,153.08,1144,3.47,135,Community transmission
Indonesia,South-East Asia,1476452,539.79,39169,14.32,5227,39983,14.62,1068,0.39,118,Community transmission
Netherlands,Europe,1213366,7081.27,46005,268.49,5636,16339,95.36,223,1.3,49,Community transmission
Chile,Americas,947783,4958.01,42571,222.7,4825,22402,117.19,586,3.07,18,Community transmission
Canada,Americas,942320,2496.73,26452,70.09,3601,22735,60.24,216,0.57,19,Community transmission
Romania,Europe,907007,4714.74,38208,198.61,6149,22442,116.66,744,3.87,174,Community transmission
Belgium,Europe,842775,7271.81,21773,187.87,2,22763,196.41,166,1.43,5,Community transmission
